#,started on Sat,01-10-2014 06:36,,
,,,,
#,time,counts unit,events,
,0.601373781,"56,77,07,955",instructions                     #    1.65  insn per cycle,-46.79%
,0.676550394,"55,84,646",branch-misses,-77.44%
,0.676550394,"2,66,159",cache-misses,-84.04%
,0.676550394,"6,16,647",L1-dcache-load-misses,-84.04%
,0.676550394,"1,84,365",L1-icache-load-misses,-81.10%
,0.676550394,"37,296",dTLB-load-misses,-75.78%
,0.676550394,"8,433",dTLB-store-misses,-70.46%
,0.676550394,"1,709",iTLB-load-misses,-24.22%
,0.676550394,"52,411",LLC-load-misses,-29.54%
,0.676550394,"1,18,699",LLC-store-misses,-34.86%
,0.676550394,"55,91,076",branch-load-misses,-45.50%
,0.676550394,"34,43,72,247",cycles,-56.14%
,0.676550394,"56,94,72,419",instructions                     #    1.65  insn per cycle,-66.78%
,0.751721262,"55,43,719",branch-misses,-58.71%
,0.751721262,"2,83,786",cache-misses,-68.08%
,0.751721262,"6,17,260",L1-dcache-load-misses,-68.07%
,0.751721262,"1,89,987",L1-icache-load-misses,-68.07%
,0.751721262,"37,405",dTLB-load-misses,-68.07%
,0.751721262,"8,413",dTLB-store-misses,-73.21%
,0.751721262,"1,707",iTLB-load-misses,-42.57%
,0.751721262,"59,713",LLC-load-misses,-42.57%
,0.751721262,"1,14,971",LLC-store-misses,-37.44%
,0.751721262,"55,33,794",branch-load-misses,-42.76%
,0.751721262,"34,36,58,206",cycles,-48.08%
,0.751721262,"56,33,23,815",instructions                     #    1.64  insn per cycle,-53.40%
,0.826898111,"55,64,194",branch-misses,-69.00%
,0.826898111,"2,83,789",cache-misses,-79.64%
,0.826898111,"6,29,951",L1-dcache-load-misses,-84.04%
,0.826898111,"1,84,968",L1-icache-load-misses,-84.04%
,0.826898111,"41,441",dTLB-load-misses,-84.04%
,0.826898111,"8,568",dTLB-store-misses,-78.90%
,0.826898111,"1,813",iTLB-load-misses,-21.28%
,0.826898111,"59,392",LLC-load-misses,-21.28%
,0.826898111,"1,17,968",LLC-store-misses,-26.42%
,0.826898111,"55,63,152",branch-load-misses,-37.06%
,0.826898111,"34,45,13,513",cycles,-47.70%
,0.826898111,"56,67,07,790",instructions                     #    1.64  insn per cycle,-58.34%
,0.902060114,"55,86,413",branch-misses,-67.15%
,0.902060114,"2,73,206",cache-misses,-72.47%
,0.902060114,"6,35,968",L1-dcache-load-misses,-68.07%
,0.902060114,"1,87,201",L1-icache-load-misses,-68.07%
,0.902060114,"44,022",dTLB-load-misses,-68.07%
,0.902060114,"8,621",dTLB-store-misses,-68.07%
,0.902060114,"1,759",iTLB-load-misses,-42.58%
,0.902060114,"52,779",LLC-load-misses,-42.58%
,0.902060114,"1,21,007",LLC-store-misses,-42.57%
,0.902060114,"55,83,487",branch-load-misses,-51.19%
,0.902060114,"34,43,16,070",cycles,-56.51%
,0.902060114,"56,93,79,632",instructions                     #    1.65  insn per cycle,-61.84%
,0.977230895,"55,98,274",branch-misses,-60.57%
,0.977230895,"2,69,833",cache-misses,-71.21%
,0.977230895,"6,31,199",L1-dcache-load-misses,-76.53%
,0.977230895,"1,85,696",L1-icache-load-misses,-81.85%
,0.977230895,"43,905",dTLB-load-misses,-84.04%
,0.977230895,"8,580",dTLB-store-misses,-84.04%
,0.977230895,"1,791",iTLB-load-misses,-28.80%
,0.977230895,"55,007",LLC-load-misses,-23.48%
,0.977230895,"1,18,205",LLC-store-misses,-21.28%
,0.977230895,"55,88,724",branch-load-misses,-28.63%
,0.977230895,"34,45,63,324",cycles,-39.27%
,0.977230895,"56,91,44,893",instructions                     #    1.65  insn per cycle,-49.91%
,1.052398388,"55,16,203",branch-misses,-75.58%
,1.052398388,"3,10,540",cache-misses,-80.90%
,1.052398388,"6,40,331",L1-dcache-load-misses,-75.58%
,1.052398388,"1,98,879",L1-icache-load-misses,-70.26%
,1.052398388,"48,726",dTLB-load-misses,-68.07%
,1.052398388,"8,543",dTLB-store-misses,-68.07%
