#,started on Sat,01-10-2014 06:47,,
,,,,
#,time,counts unit,events,
,0.075128578,"44,133",branch-misses,-57.25%
,0.075128578,"55,59,085",cache-misses,-67.94%
,0.075128578,"64,26,332",L1-dcache-load-misses,-67.93%
,0.075128578,"4,17,747",L1-icache-load-misses,-68.68%
,0.075128578,"9,537",dTLB-load-misses,-74.02%
,0.075128578,"10,57,484",dTLB-store-misses,-79.37%
,0.075128578,318,iTLB-load-misses,-42.01%
,0.075128578,"42,522",LLC-load-misses,-36.66%
,0.075128578,"52,64,119",LLC-store-misses,-31.33%
,0.075128578,"33,521",branch-load-misses,-36.67%
,0.075128578,"34,24,00,707",cycles,-42.01%
,0.075128578,"36,29,61,591",instructions                     #    1.06  insn per cycle,-47.36%
,0.150355183,"37,58,796",branch-misses,-75.19%
,0.150355183,"27,37,919",cache-misses,-84.05%
,0.150355183,"37,49,611",L1-dcache-load-misses,-84.05%
,0.150355183,"4,42,868",L1-icache-load-misses,-83.31%
,0.150355183,"3,592",dTLB-load-misses,-77.99%
,0.150355183,"4,28,147",dTLB-store-misses,-72.68%
,0.150355183,"1,027",iTLB-load-misses,-22.00%
,0.150355183,"25,648",LLC-load-misses,-27.32%
,0.150355183,"19,03,732",LLC-store-misses,-32.64%
,0.150355183,"44,44,864",branch-load-misses,-43.27%
,0.150355183,"34,42,74,261",cycles,-53.90%
,0.150355183,"40,84,99,835",instructions                     #    1.19  insn per cycle,-64.54%
,0.197783557,"1,33,015",branch-misses,-67.56%
,0.197783557,"10,20,661",cache-misses,-74.66%
,0.197783557,"15,90,659",L1-dcache-load-misses,-74.66%
,0.197783557,"2,02,649",L1-icache-load-misses,-74.66%
,0.197783557,"2,899",dTLB-load-misses,-74.66%
,0.197783557,"90,564",dTLB-store-misses,-74.66%
,0.197783557,"1,971",iTLB-load-misses,-33.78%
,0.197783557,"13,422",LLC-load-misses,-33.79%
,0.197783557,"92,180",LLC-store-misses,-33.78%
,0.197783557,"1,78,717",branch-load-misses,-42.30%
,0.197783557,"21,67,05,442",cycles,-50.68%
,0.197783557,"71,79,00,759",instructions                     #    3.31  insn per cycle,-59.16%
