,branch-misses,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,cycles,instructions
6762,314013,1283471,6622509,20619,6430,10795,37,1183,3023,200382,231219068,349765387
6763,563402,1219489,6638916,19345,6079,12321,512,58590,29547,691895,228460325,408537760
6764,474921,79295,1787009,25173,665,2777,2326,3638,15542,501478,232258675,230593551
6765,288711,808393,2172752,50420,7752,16380,377,11823,76167,348412,228418603,438944047
6766,440693,1736907,7916133,550446,6680,23203,711,63113,221092,403406,228503094,620949137
6767,237520,890764,4489264,19115,5650,10057,775,47338,75762,205490,230971887,241072288
6768,438914,1608370,8302560,20595,7921,13370,641,87983,229454,427553,228664656,577930009
6769,689403,241361,2455792,18817,1078,4018,0,450,39396,848775,231960377,217059193
6770,540744,292587,2849706,56117,7854,18436,1090,25498,417,470976,232186425,386891555
6771,443137,1193237,5454852,35767,3882,9871,1616,67365,228024,586136,227885211,525570954
6772,321518,1134941,5001609,15361,5926,17067,1042,88027,257606,407480,229135882,466701241
6773,297077,1141113,6390997,21328,7045,10890,430,28236,0,51405,230795428,294880688
6774,540755,814828,4379616,16466,2773,9185,376,40277,29046,550585,229812353,289974725
6775,823893,140398,2398887,34831,594,2290,688,1741,1284,661694,232263323,307825097
6776,277588,936338,3306145,532769,4532,10591,1335,149216,309729,207225,226731068,473532676
6777,296051,1359154,7339916,24696,7679,14892,427,4185,111451,270246,229960560,483951181
6778,242783,919703,4598626,16672,5821,10089,836,40223,115727,211720,230541763,290843332
6779,643766,1406474,8859743,26179,10566,14104,505,35143,70043,653687,229745669,494405737
6780,759982,249319,2089154,27948,523,1417,157,3908,98426,698141,231228274,232592772
6781,438550,621473,2717991,59366,8272,19711,266,1952,401,408799,232238126,415203081
6782,394352,1226782,7602964,786261,4460,12949,1675,41715,78530,376708,227570668,575266102
6783,382500,1567764,7221712,22214,4419,6162,434,103265,342113,409375,228381423,493262948
6784,225701,1002039,5730688,18854,5480,10054,491,42745,78652,286610,230188134,251602690
6785,562909,865311,5120557,16301,4802,8588,79,11892,22400,806988,230374117,332855536
6786,646485,145039,2083829,33681,311,2721,723,3619,20176,636728,231589160,339367681
6787,386418,891359,12495643,770111,6640,14195,86,5573,117,382412,228673654,653589236
6788,397383,27331,14489125,959648,505,296,61,5610,14,403324,232233493,719308026
6789,387005,26241,14496053,951914,567,310,17,4636,8,389110,232181532,723266406
6790,358234,95578,14252130,911103,2014,769,24,5428,308,366002,232269890,724773903
6791,233329,855486,2285824,605087,3194,11358,829,109166,214428,295485,230320729,484522822
6792,226082,1234812,5928299,23510,6676,17530,103,1403,10571,194251,232039278,350287824
6793,370612,1322602,6020759,17183,1544,4225,594,104177,252693,440006,228124430,433761137
6794,526197,1062927,6677049,18717,6844,8973,873,77248,135229,463300,230654198,391837680
6795,619188,179609,2098149,30800,821,3369,582,989,272,655295,232240159,247749527
6796,251941,203340,963917,43950,4905,15921,2663,105024,110344,98708,228701273,422794597
6797,485405,1641834,7861327,53569,5150,19216,1817,113087,239605,458772,227554411,490753662
6798,384282,1458259,7350378,18882,4657,6706,248,70777,209811,330507,229218150,491583800
6799,327771,1328601,6396775,19353,7131,14163,829,90264,29021,366874,228489216,350885817
6800,477928,136746,1740081,12730,1157,5579,928,2504,13665,632446,232176136,183090473
6801,539172,828131,2800958,53710,6481,15018,327,2533,46938,626333,228102707,380176779
6802,251823,886030,4870427,633854,3896,15097,756,41503,121514,241367,230920563,563825014
6803,264942,1355091,5901358,23124,7022,17806,381,7951,0,37376,231040130,227488270
6804,392447,1400702,6338833,15470,3954,8411,1017,98760,228543,446260,228966745,495952853
6805,524591,654024,5138671,15503,5190,8618,382,25220,71721,552532,232293787,227527952
6806,738234,174640,2334114,37104,626,2452,386,1156,3765,784477,231643988,310561559
6807,244893,458666,2788145,55214,8514,21992,2370,38727,107595,305230,231269725,479527004
6808,370517,1389173,5504751,26866,5810,16681,1330,58886,211373,460057,227651610,417666878
6809,347734,1355437,6541229,18596,6166,10004,345,58591,159330,294975,229810272,420784012
6810,496502,1473468,7268312,23096,7077,13375,761,96056,39100,459787,227014072,463263855
6811,713357,86156,2023191,22900,700,4551,930,1436,10722,637633,232285843,200148033
6812,372363,917299,2712885,52082,3665,4844,505,135279,409533,414547,225571875,431586274
6813,402092,1207698,6946330,706874,4948,8418,5123,95655,230234,371884,228163700,570221831
6814,199127,978217,5312089,21294,6592,15991,745,32727,70232,251770,231426692,301960414
6815,357892,1383661,7307120,22147,6804,9148,4,7015,56918,351790,228809692,432679793
6816,354661,674641,3726455,15252,3655,5712,568,56968,108224,210954,230222073,248552603
6817,774851,169145,2327897,32811,575,2276,540,1580,89,773291,232330727,266557470
6818,264247,795967,2523775,623187,4030,8763,1370,171648,336066,269601,227707899,477944599
6819,443057,1908526,7674950,28505,4422,10149,506,91223,263341,395334,228025724,499501722
6820,248023,1003639,5924313,19989,5786,7198,316,38331,164879,219114,231013312,301079042
6821,560012,1696073,8516274,26900,7992,14133,455,48533,95566,645328,227987960,528653707
6822,572613,203724,1734310,21766,474,3665,1306,5173,34645,663700,231622758,245790920
6823,413217,937172,2758460,56495,8229,19251,216,2600,363,428384,229676713,435399499
6824,377186,1675118,6866329,517362,6253,18413,1322,197256,328438,491530,229531316,598309496
6825,242987,1209837,4894371,16453,4078,9213,455,46379,120665,289274,230017084,288065642
6826,382143,1412096,7717750,20399,6866,6583,541,107729,259111,372119,229384847,479460809
6827,542505,424905,2652003,14051,1296,6778,327,24458,87762,549967,231608317,221710044
6828,612881,195685,2316452,58748,5497,16569,2636,79390,77274,565385,230262916,350829281
6829,384539,1006599,4413789,49486,2915,9605,1765,22923,126007,359561,228806792,502510516
