,branch-misses,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,cycles,instructions
6004,391134,1773958,7871957,530790,6426,19851,1074,82708,268563,447295,229479660,621635059
6005,233109,930061,4541315,16229,4894,9625,709,56531,87516,213560,230964917,235701131
6006,441205,1601518,8418187,21297,8041,12302,653,82557,235616,439304,228625514,583225380
6007,697619,232507,2465653,18362,1102,4068,4,378,37354,804884,231643603,219419236
6008,539470,287391,2867588,57188,8018,18212,1276,25171,313,483983,232259752,387308445
6009,434064,1206947,5429377,35202,4045,9774,1549,80586,232410,564949,228303055,526854855
6010,306652,1054205,5073307,16135,7256,17273,1077,83823,230123,388735,229769046,464607471
6011,300392,1178245,6730434,20149,7404,10330,274,9778,79,102003,229410147,356718477
6012,606051,704040,4092812,13875,2092,8379,453,49543,59587,533328,230175412,266840400
6013,722267,358150,2567726,35342,645,3261,1036,85746,18019,626044,231882588,316075116
6014,279102,824133,3485010,581739,3770,5243,1250,57198,362843,197951,226497831,474941311
6015,426953,1807378,9254443,242661,6773,17032,730,96887,232522,456105,228691415,542623446
6016,260849,1038996,4726992,16371,3644,7989,789,82898,147397,375484,229823026,317452360
6017,438240,1496740,8347894,21874,8343,8009,547,102922,227012,396157,229786338,423374873
6018,600348,275870,2320339,20085,1025,4472,215,395,249,663379,232292181,203078086
6019,457979,180875,1608899,51363,5444,15989,2520,69393,55919,419923,230621344,386371493
6020,505134,1435933,6319202,52201,4487,14513,1217,95705,214157,528107,227076308,535247344
6021,390642,1437150,7064320,21040,4275,7525,780,102209,282165,424279,228267159,526725749
6022,299280,1153306,5806034,19189,6375,10734,552,41713,9692,248410,231100340,289642971
6023,487689,570428,3766344,14126,3000,7490,14,18046,22766,579599,230345356,246394794
6024,637814,620643,3243611,58983,2090,2972,1282,70662,229950,601104,229235450,351114442
6025,213078,562571,3073411,512949,4965,13634,240,2252,437,127282,229070834,461778935
6026,321085,1237576,6680212,22439,8636,21029,385,33769,1557,230649,234183986,453227904
6027,250066,732320,4490262,16274,5705,10720,925,71513,127146,286460,230734284,326110193
6028,721477,1181198,7616743,22662,8113,10776,223,7005,66268,650096,230723036,419537796
6029,698642,218618,2256166,30749,535,1105,317,3071,32942,757747,231866682,288146533
6030,325528,622227,2217487,49865,6790,17589,281,1552,517,296158,232148942,428574288
6031,454928,1602033,7874771,587359,7988,22440,1407,66556,113971,495792,228885189,503226728
6032,307515,985207,5093218,16589,4542,6275,716,44784,119976,450919,229352818,415323292
6033,348092,1350562,7201653,23033,8916,10384,512,52071,118982,278682,229958138,381635649
6034,554144,276150,2310356,17554,1024,4454,325,1057,13606,337097,232240981,146509984
6035,455645,562815,1980820,37899,2995,10972,1778,203043,301941,454246,228781595,390960046
6036,454140,1556459,6372120,631635,4000,9446,427,65105,225436,344956,230213865,534593290
6037,376164,1453481,7472018,22977,5420,6935,18,63061,278324,396598,229078959,519445567
6038,262843,1234645,5888717,17196,4922,10050,425,55337,63602,318607,230053939,291081223
6039,549332,712306,3846028,14325,3705,7897,72,1080,17495,874942,230647812,256439449
6040,636319,544569,2976268,59722,4617,11609,1096,4072,7230,632722,229350533,340411502
6041,121084,526270,2459506,572314,4709,13787,1926,11910,648,83249,230915381,456388606
6042,361797,1350697,7432272,90881,6913,19716,1569,55499,169949,383980,227372576,463335484
6043,369970,1341284,6450566,17916,5533,7749,472,71727,235856,376487,229243579,531255187
6044,439299,1186225,6521323,20592,7174,15389,908,74166,25251,331159,229206400,378171717
6045,715451,202434,2153048,17822,941,4689,573,1135,7273,615054,232186620,165167484
6046,437346,804800,2462145,36615,2106,456,2141,225183,481361,457022,226588837,405395474
6047,360144,1278374,7437377,632304,6780,15392,380,39403,105209,251062,229972491,563801725
6048,310906,1244725,6860813,22979,6708,12778,382,7163,22191,222308,229176948,410533527
6049,314675,999635,6233810,19650,6768,7094,648,27387,74622,352496,229557010,392263188
