#,started on Fri,01-10-2013 01:37,,
,,,,
#,time,counts unit,events,
,0.075129829,"7,44,589",branch-misses,-57.29%
,0.075129829,"2,31,833",cache-misses,-67.97%
,0.075129829,"96,67,348",L1-dcache-load-misses,-67.97%
,0.075129829,"51,62,301",L1-icache-load-misses,-67.97%
,0.075129829,"6,149",dTLB-load-misses,-69.91%
,0.075129829,"16,751",dTLB-store-misses,-75.25%
,0.075129829,"74,810",iTLB-load-misses,-42.71%
,0.075129829,"14,514",LLC-load-misses,-40.77%
,0.075129829,"1,04,936",LLC-store-misses,-35.43%
,0.075129829,"7,32,020",branch-load-misses,-40.77%
,0.075129829,"23,14,04,681",cycles,-46.11%
,0.075129829,"49,63,62,643",instructions              #    2.14  insn per cycle,-51.44%
,0.150341173,"6,86,784",branch-misses,-71.08%
,0.150341173,"1,28,862",cache-misses,-81.72%
,0.150341173,"1,14,53,249",L1-dcache-load-misses,-84.04%
,0.150341173,"40,37,478",L1-icache-load-misses,-84.04%
,0.150341173,"97,675",dTLB-load-misses,-82.11%
,0.150341173,"12,933",dTLB-store-misses,-76.79%
,0.150341173,"54,000",iTLB-load-misses,-21.28%
,0.150341173,"13,173",LLC-load-misses,-23.21%
,0.150341173,"81,779",LLC-store-misses,-28.52%
,0.150341173,"6,89,057",branch-load-misses,-39.16%
,0.150341173,"23,20,51,871",cycles,-49.79%
,0.150341173,"47,25,61,901",instructions              #    2.04  insn per cycle,-60.43%
,0.225534825,"6,24,231",branch-misses,-65.08%
,0.225534825,"1,45,103",cache-misses,-70.40%
,0.225534825,"1,17,04,343",L1-dcache-load-misses,-68.08%
,0.225534825,"36,05,909",L1-icache-load-misses,-68.08%
,0.225534825,"4,33,630",dTLB-load-misses,-68.08%
,0.225534825,"15,492",dTLB-store-misses,-68.09%
,0.225534825,"66,003",iTLB-load-misses,-42.56%
,0.225534825,"13,692",LLC-load-misses,-42.56%
,0.225534825,"76,504",LLC-store-misses,-42.55%
,0.225534825,"6,18,620",branch-load-misses,-49.14%
,0.225534825,"23,19,59,469",cycles,-54.46%
,0.225534825,"45,98,56,782",instructions              #    1.98  insn per cycle,-59.78%
,0.3007262,"5,75,496",branch-misses,-62.58%
,0.3007262,"1,24,394",cache-misses,-73.22%
,0.3007262,"1,22,04,268",L1-dcache-load-misses,-78.54%
,0.3007262,"34,01,192",L1-icache-load-misses,-83.86%
,0.3007262,"7,86,373",dTLB-load-misses,-84.04%
,0.3007262,"17,788",dTLB-store-misses,-84.04%
,0.3007262,"62,934",iTLB-load-misses,-26.79%
,0.3007262,"15,787",LLC-load-misses,-21.47%
,0.3007262,"68,350",LLC-store-misses,-21.28%
,0.3007262,"5,82,222",branch-load-misses,-30.65%
,0.3007262,"23,21,65,588",cycles,-41.29%
,0.3007262,"45,34,32,673",instructions              #    1.95  insn per cycle,-51.93%
,0.375886243,"5,50,001",branch-misses,-73.56%
,0.375886243,"1,42,873",cache-misses,-78.88%
,0.375886243,"1,26,19,649",L1-dcache-load-misses,-73.56%
,0.375886243,"31,53,576",L1-icache-load-misses,-68.24%
,0.375886243,"9,87,161",dTLB-load-misses,-68.08%
,0.375886243,"17,846",dTLB-store-misses,-68.08%
,0.375886243,"56,971",iTLB-load-misses,-37.07%
,0.375886243,"15,938",LLC-load-misses,-42.38%
,0.375886243,"63,676",LLC-store-misses,-42.57%
,0.375886243,"5,43,048",branch-load-misses,-53.21%
,0.375886243,"23,16,76,482",cycles,-62.93%
,0.375886243,"44,42,07,729",instructions              #    1.92  insn per cycle,-68.25%
,0.451083094,"5,13,645",branch-misses,-57.44%
,0.451083094,"1,70,835",cache-misses,-68.08%
,0.451083094,"1,27,02,469",L1-dcache-load-misses,-70.08%
,0.451083094,"30,06,826",L1-icache-load-misses,-75.40%
,0.451083094,"10,94,770",dTLB-load-misses,-80.72%
,0.451083094,"16,779",dTLB-store-misses,-84.04%
,0.451083094,"46,640",iTLB-load-misses,-35.24%
,0.451083094,"17,448",LLC-load-misses,-29.92%
,0.451083094,"66,607",LLC-store-misses,-24.60%
,0.451083094,"5,04,556",branch-load-misses,-29.92%
,0.451083094,"23,19,08,530",cycles,-36.17%
,0.451083094,"43,91,61,211",instructions              #    1.89  insn per cycle,-46.80%
,0.526285081,"4,82,600",branch-misses,-78.72%
,0.526285081,"1,86,592",cache-misses,-84.04%
,0.526285081,"1,29,84,748",L1-dcache-load-misses,-82.04%
,0.526285081,"28,07,286",L1-icache-load-misses,-76.72%
,0.526285081,"11,86,901",dTLB-load-misses,-71.40%
,0.526285081,"15,798",dTLB-store-misses,-68.09%
,0.526285081,"49,430",iTLB-load-misses,-28.59%
,0.526285081,"12,137",LLC-load-misses,-33.91%
,0.526285081,"60,515",LLC-store-misses,-39.23%
,0.526285081,"4,83,479",branch-load-misses,-49.86%
,0.526285081,"23,12,00,345",cycles,-60.50%
,0.526285081,"43,34,57,406",instructions              #    1.87  insn per cycle,-71.13%
,0.601492698,"4,59,919",branch-misses,-57.45%
,0.601492698,"2,95,065",cache-misses,-68.08%
,0.601492698,"1,31,34,414",L1-dcache-load-misses,-68.08%
,0.601492698,"26,44,744",L1-icache-load-misses,-68.09%
,0.601492698,"12,29,073",dTLB-load-misses,-72.20%
,0.601492698,"14,679",dTLB-store-misses,-77.52%
,0.601492698,"46,997",iTLB-load-misses,-42.55%
,0.601492698,"18,949",LLC-load-misses,-38.44%
,0.601492698,"55,796",LLC-store-misses,-33.12%
,0.601492698,"4,61,347",branch-load-misses,-38.44%
,0.601492698,"23,00,76,025",cycles,-43.76%
,0.601492698,"42,48,58,216",instructions              #    1.85  insn per cycle,-49.08%
,0.676702773,"4,42,577",branch-misses,-73.26%
,0.676702773,"2,90,670",cache-misses,-83.90%
,0.676702773,"1,31,17,713",L1-dcache-load-misses,-84.04%
,0.676702773,"25,10,019",L1-icache-load-misses,-84.04%
,0.676702773,"13,32,880",dTLB-load-misses,-79.93%
,0.676702773,"13,549",dTLB-store-misses,-74.62%
,0.676702773,"42,122",iTLB-load-misses,-21.28%
,0.676702773,"17,927",LLC-load-misses,-25.39%
,0.676702773,"53,574",LLC-store-misses,-30.70%
,0.676702773,"4,37,009",branch-load-misses,-41.33%
,0.676702773,"22,98,73,030",cycles,-51.97%
,0.676702773,"42,17,09,961",instructions              #    1.83  insn per cycle,-62.61%
,0.751845782,"4,37,220",branch-misses,-62.88%
,0.751845782,"3,50,372",cache-misses,-68.20%
,0.751845782,"1,29,55,655",L1-dcache-load-misses,-68.06%
,0.751845782,"24,50,986",L1-icache-load-misses,-68.06%
,0.751845782,"13,27,428",dTLB-load-misses,-68.06%
,0.751845782,"13,271",dTLB-store-misses,-69.05%
,0.751845782,"44,956",iTLB-load-misses,-42.59%
,0.751845782,"27,994",LLC-load-misses,-42.58%
,0.751845782,"60,079",LLC-store-misses,-41.60%
,0.751845782,"4,43,035",branch-load-misses,-46.92%
,0.751845782,"22,69,33,401",cycles,-52.25%
,0.751845782,"41,77,89,666",instructions              #    1.84  insn per cycle,-57.57%
,0.82705974,"3,99,297",branch-misses,-64.81%
,0.82705974,"3,83,784",cache-misses,-75.45%
,0.82705974,"1,33,06,325",L1-dcache-load-misses,-80.76%
,0.82705974,"23,45,298",L1-icache-load-misses,-84.04%
,0.82705974,"13,66,292",dTLB-load-misses,-84.04%
,0.82705974,"12,461",dTLB-store-misses,-83.06%
,0.82705974,"46,746",iTLB-load-misses,-24.57%
,0.82705974,"27,300",LLC-load-misses,-21.27%
,0.82705974,"50,694",LLC-store-misses,-22.25%
,0.82705974,"3,96,177",branch-load-misses,-32.89%
,0.82705974,"22,78,50,639",cycles,-43.52%
,0.82705974,"41,32,76,827",instructions              #    1.81  insn per cycle,-54.16%
,0.902257176,"3,91,728",branch-misses,-71.35%
,0.902257176,"6,99,220",cache-misses,-76.68%
,0.902257176,"1,30,65,798",L1-dcache-load-misses,-71.36%
,0.902257176,"21,84,521",L1-icache-load-misses,-68.08%
,0.902257176,"14,02,704",dTLB-load-misses,-68.08%
,0.902257176,"12,378",dTLB-store-misses,-68.09%
,0.902257176,"44,600",iTLB-load-misses,-39.27%
,0.902257176,"59,574",LLC-load-misses,-42.56%
,0.902257176,"53,833",LLC-store-misses,-42.55%
,0.902257176,"3,94,916",branch-load-misses,-53.19%
,0.902257176,"22,44,77,689",cycles,-60.73%
,0.902257176,"40,05,79,099",instructions              #    1.78  insn per cycle,-66.05%
,0.977469297,"3,71,472",branch-misses,-57.45%
,0.977469297,"5,56,446",cache-misses,-68.09%
,0.977469297,"1,32,03,116",L1-dcache-load-misses,-72.23%
,0.977469297,"21,95,483",L1-icache-load-misses,-77.55%
,0.977469297,"14,69,048",dTLB-load-misses,-82.87%
,0.977469297,"12,114",dTLB-store-misses,-84.05%
,0.977469297,"41,215",iTLB-load-misses,-33.09%
,0.977469297,"36,592",LLC-load-misses,-27.77%
,0.977469297,"52,580",LLC-store-misses,-22.45%
,0.977469297,"3,68,783",branch-load-misses,-27.77%
,0.977469297,"22,54,32,322",cycles,-36.18%
,0.977469297,"40,54,88,636",instructions              #    1.80  insn per cycle,-46.81%
,1.052688207,"3,73,202",branch-misses,-78.73%
,1.052688207,"7,33,839",cache-misses,-84.04%
,1.052688207,"1,31,44,189",L1-dcache-load-misses,-79.90%
,1.052688207,"20,70,268",L1-icache-load-misses,-74.58%
,1.052688207,"14,67,664",dTLB-load-misses,-69.27%
,1.052688207,"11,383",dTLB-store-misses,-68.10%
,1.052688207,"37,498",iTLB-load-misses,-30.73%
,1.052688207,"51,384",LLC-load-misses,-36.05%
,1.052688207,"51,107",LLC-store-misses,-41.36%
