,B,C,D,E
2,0.075129829,"7,44,589",branch-misses,-57.29%
3,0.075129829,"2,31,833",cache-misses,-67.97%
4,0.075129829,"96,67,348",L1-dcache-load-misses,-67.97%
5,0.075129829,"51,62,301",L1-icache-load-misses,-67.97%
6,0.075129829,"6,149",dTLB-load-misses,-69.91%
7,0.075129829,"16,751",dTLB-store-misses,-75.25%
8,0.075129829,"74,810",iTLB-load-misses,-42.71%
9,0.075129829,"14,514",LLC-load-misses,-40.77%
10,0.075129829,"1,04,936",LLC-store-misses,-35.43%
11,0.075129829,"7,32,020",branch-load-misses,-40.77%
12,0.075129829,"23,14,04,681",cycles,-46.11%
13,0.075129829,"49,63,62,643",instructions              #    2.14  insn per cycle,-51.44%
14,0.150341173,"6,86,784",branch-misses,-71.08%
15,0.150341173,"1,28,862",cache-misses,-81.72%
16,0.150341173,"1,14,53,249",L1-dcache-load-misses,-84.04%
17,0.150341173,"40,37,478",L1-icache-load-misses,-84.04%
18,0.150341173,"97,675",dTLB-load-misses,-82.11%
19,0.150341173,"12,933",dTLB-store-misses,-76.79%
20,0.150341173,"54,000",iTLB-load-misses,-21.28%
21,0.150341173,"13,173",LLC-load-misses,-23.21%
22,0.150341173,"81,779",LLC-store-misses,-28.52%
23,0.150341173,"6,89,057",branch-load-misses,-39.16%
24,0.150341173,"23,20,51,871",cycles,-49.79%
25,0.150341173,"47,25,61,901",instructions              #    2.04  insn per cycle,-60.43%
26,0.225534825,"6,24,231",branch-misses,-65.08%
27,0.225534825,"1,45,103",cache-misses,-70.40%
28,0.225534825,"1,17,04,343",L1-dcache-load-misses,-68.08%
29,0.225534825,"36,05,909",L1-icache-load-misses,-68.08%
30,0.225534825,"4,33,630",dTLB-load-misses,-68.08%
31,0.225534825,"15,492",dTLB-store-misses,-68.09%
32,0.225534825,"66,003",iTLB-load-misses,-42.56%
33,0.225534825,"13,692",LLC-load-misses,-42.56%
34,0.225534825,"76,504",LLC-store-misses,-42.55%
35,0.225534825,"6,18,620",branch-load-misses,-49.14%
36,0.225534825,"23,19,59,469",cycles,-54.46%
37,0.225534825,"45,98,56,782",instructions              #    1.98  insn per cycle,-59.78%
38,0.3007262,"5,75,496",branch-misses,-62.58%
39,0.3007262,"1,24,394",cache-misses,-73.22%
40,0.3007262,"1,22,04,268",L1-dcache-load-misses,-78.54%
41,0.3007262,"34,01,192",L1-icache-load-misses,-83.86%
42,0.3007262,"7,86,373",dTLB-load-misses,-84.04%
43,0.3007262,"17,788",dTLB-store-misses,-84.04%
44,0.3007262,"62,934",iTLB-load-misses,-26.79%
45,0.3007262,"15,787",LLC-load-misses,-21.47%
46,0.3007262,"68,350",LLC-store-misses,-21.28%
47,0.3007262,"5,82,222",branch-load-misses,-30.65%
48,0.3007262,"23,21,65,588",cycles,-41.29%
49,0.3007262,"45,34,32,673",instructions              #    1.95  insn per cycle,-51.93%
50,0.375886243,"5,50,001",branch-misses,-73.56%
51,0.375886243,"1,42,873",cache-misses,-78.88%
52,0.375886243,"1,26,19,649",L1-dcache-load-misses,-73.56%
53,0.375886243,"31,53,576",L1-icache-load-misses,-68.24%
54,0.375886243,"9,87,161",dTLB-load-misses,-68.08%
55,0.375886243,"17,846",dTLB-store-misses,-68.08%
56,0.375886243,"56,971",iTLB-load-misses,-37.07%
57,0.375886243,"15,938",LLC-load-misses,-42.38%
58,0.375886243,"63,676",LLC-store-misses,-42.57%
59,0.375886243,"5,43,048",branch-load-misses,-53.21%
60,0.375886243,"23,16,76,482",cycles,-62.93%
61,0.375886243,"44,42,07,729",instructions              #    1.92  insn per cycle,-68.25%
62,0.451083094,"5,13,645",branch-misses,-57.44%
63,0.451083094,"1,70,835",cache-misses,-68.08%
64,0.451083094,"1,27,02,469",L1-dcache-load-misses,-70.08%
65,0.451083094,"30,06,826",L1-icache-load-misses,-75.40%
66,0.451083094,"10,94,770",dTLB-load-misses,-80.72%
67,0.451083094,"16,779",dTLB-store-misses,-84.04%
68,0.451083094,"46,640",iTLB-load-misses,-35.24%
69,0.451083094,"17,448",LLC-load-misses,-29.92%
70,0.451083094,"66,607",LLC-store-misses,-24.60%
71,0.451083094,"5,04,556",branch-load-misses,-29.92%
72,0.451083094,"23,19,08,530",cycles,-36.17%
73,0.451083094,"43,91,61,211",instructions              #    1.89  insn per cycle,-46.80%
74,0.526285081,"4,82,600",branch-misses,-78.72%
75,0.526285081,"1,86,592",cache-misses,-84.04%
76,0.526285081,"1,29,84,748",L1-dcache-load-misses,-82.04%
77,0.526285081,"28,07,286",L1-icache-load-misses,-76.72%
78,0.526285081,"11,86,901",dTLB-load-misses,-71.40%
79,0.526285081,"15,798",dTLB-store-misses,-68.09%
80,0.526285081,"49,430",iTLB-load-misses,-28.59%
81,0.526285081,"12,137",LLC-load-misses,-33.91%
82,0.526285081,"60,515",LLC-store-misses,-39.23%
83,0.526285081,"4,83,479",branch-load-misses,-49.86%
84,0.526285081,"23,12,00,345",cycles,-60.50%
85,0.526285081,"43,34,57,406",instructions              #    1.87  insn per cycle,-71.13%
86,0.601492698,"4,59,919",branch-misses,-57.45%
87,0.601492698,"2,95,065",cache-misses,-68.08%
88,0.601492698,"1,31,34,414",L1-dcache-load-misses,-68.08%
89,0.601492698,"26,44,744",L1-icache-load-misses,-68.09%
90,0.601492698,"12,29,073",dTLB-load-misses,-72.20%
91,0.601492698,"14,679",dTLB-store-misses,-77.52%
92,0.601492698,"46,997",iTLB-load-misses,-42.55%
93,0.601492698,"18,949",LLC-load-misses,-38.44%
94,0.601492698,"55,796",LLC-store-misses,-33.12%
95,0.601492698,"4,61,347",branch-load-misses,-38.44%
96,0.601492698,"23,00,76,025",cycles,-43.76%
97,0.601492698,"42,48,58,216",instructions              #    1.85  insn per cycle,-49.08%
98,0.676702773,"4,42,577",branch-misses,-73.26%
99,0.676702773,"2,90,670",cache-misses,-83.90%
100,0.676702773,"1,31,17,713",L1-dcache-load-misses,-84.04%
101,0.676702773,"25,10,019",L1-icache-load-misses,-84.04%
102,0.676702773,"13,32,880",dTLB-load-misses,-79.93%
103,0.676702773,"13,549",dTLB-store-misses,-74.62%
104,0.676702773,"42,122",iTLB-load-misses,-21.28%
105,0.676702773,"17,927",LLC-load-misses,-25.39%
106,0.676702773,"53,574",LLC-store-misses,-30.70%
107,0.676702773,"4,37,009",branch-load-misses,-41.33%
108,0.676702773,"22,98,73,030",cycles,-51.97%
109,0.676702773,"42,17,09,961",instructions              #    1.83  insn per cycle,-62.61%
110,0.751845782,"4,37,220",branch-misses,-62.88%
111,0.751845782,"3,50,372",cache-misses,-68.20%
112,0.751845782,"1,29,55,655",L1-dcache-load-misses,-68.06%
113,0.751845782,"24,50,986",L1-icache-load-misses,-68.06%
114,0.751845782,"13,27,428",dTLB-load-misses,-68.06%
115,0.751845782,"13,271",dTLB-store-misses,-69.05%
116,0.751845782,"44,956",iTLB-load-misses,-42.59%
117,0.751845782,"27,994",LLC-load-misses,-42.58%
118,0.751845782,"60,079",LLC-store-misses,-41.60%
119,0.751845782,"4,43,035",branch-load-misses,-46.92%
120,0.751845782,"22,69,33,401",cycles,-52.25%
121,0.751845782,"41,77,89,666",instructions              #    1.84  insn per cycle,-57.57%
122,0.82705974,"3,99,297",branch-misses,-64.81%
123,0.82705974,"3,83,784",cache-misses,-75.45%
124,0.82705974,"1,33,06,325",L1-dcache-load-misses,-80.76%
125,0.82705974,"23,45,298",L1-icache-load-misses,-84.04%
126,0.82705974,"13,66,292",dTLB-load-misses,-84.04%
127,0.82705974,"12,461",dTLB-store-misses,-83.06%
128,0.82705974,"46,746",iTLB-load-misses,-24.57%
129,0.82705974,"27,300",LLC-load-misses,-21.27%
130,0.82705974,"50,694",LLC-store-misses,-22.25%
131,0.82705974,"3,96,177",branch-load-misses,-32.89%
132,0.82705974,"22,78,50,639",cycles,-43.52%
133,0.82705974,"41,32,76,827",instructions              #    1.81  insn per cycle,-54.16%
134,0.902257176,"3,91,728",branch-misses,-71.35%
135,0.902257176,"6,99,220",cache-misses,-76.68%
136,0.902257176,"1,30,65,798",L1-dcache-load-misses,-71.36%
137,0.902257176,"21,84,521",L1-icache-load-misses,-68.08%
138,0.902257176,"14,02,704",dTLB-load-misses,-68.08%
139,0.902257176,"12,378",dTLB-store-misses,-68.09%
140,0.902257176,"44,600",iTLB-load-misses,-39.27%
141,0.902257176,"59,574",LLC-load-misses,-42.56%
142,0.902257176,"53,833",LLC-store-misses,-42.55%
143,0.902257176,"3,94,916",branch-load-misses,-53.19%
144,0.902257176,"22,44,77,689",cycles,-60.73%
145,0.902257176,"40,05,79,099",instructions              #    1.78  insn per cycle,-66.05%
146,0.977469297,"3,71,472",branch-misses,-57.45%
147,0.977469297,"5,56,446",cache-misses,-68.09%
148,0.977469297,"1,32,03,116",L1-dcache-load-misses,-72.23%
149,0.977469297,"21,95,483",L1-icache-load-misses,-77.55%
150,0.977469297,"14,69,048",dTLB-load-misses,-82.87%
151,0.977469297,"12,114",dTLB-store-misses,-84.05%
152,0.977469297,"41,215",iTLB-load-misses,-33.09%
153,0.977469297,"36,592",LLC-load-misses,-27.77%
154,0.977469297,"52,580",LLC-store-misses,-22.45%
155,0.977469297,"3,68,783",branch-load-misses,-27.77%
156,0.977469297,"22,54,32,322",cycles,-36.18%
157,0.977469297,"40,54,88,636",instructions              #    1.80  insn per cycle,-46.81%
158,1.052688207,"3,73,202",branch-misses,-78.73%
159,1.052688207,"7,33,839",cache-misses,-84.04%
160,1.052688207,"1,31,44,189",L1-dcache-load-misses,-79.90%
161,1.052688207,"20,70,268",L1-icache-load-misses,-74.58%
162,1.052688207,"14,67,664",dTLB-load-misses,-69.27%
163,1.052688207,"11,383",dTLB-store-misses,-68.10%
164,1.052688207,"37,498",iTLB-load-misses,-30.73%
165,1.052688207,"51,384",LLC-load-misses,-36.05%
166,1.052688207,"51,107",LLC-store-misses,-41.36%
167,1.052688207,"3,73,721",branch-load-misses,-52.00%
168,1.052688207,"22,47,67,352",cycles,-62.63%
169,1.052688207,"39,76,26,569",instructions              #    1.77  insn per cycle,-73.26%
170,1.127863451,"3,35,955",branch-misses,-57.43%
171,1.127863451,"8,94,563",cache-misses,-68.07%
172,1.127863451,"1,31,76,769",L1-dcache-load-misses,-68.07%
173,1.127863451,"20,35,173",L1-icache-load-misses,-69.04%
174,1.127863451,"15,21,257",dTLB-load-misses,-74.36%
175,1.127863451,"11,340",dTLB-store-misses,-79.68%
176,1.127863451,"38,629",iTLB-load-misses,-41.61%
177,1.127863451,"61,882",LLC-load-misses,-36.29%
178,1.127863451,"49,459",LLC-store-misses,-30.97%
179,1.127863451,"3,27,047",branch-load-misses,-36.29%
180,1.127863451,"22,45,72,898",cycles,-41.61%
181,1.127863451,"39,00,09,766",instructions              #    1.74  insn per cycle,-46.94%
182,1.203073996,"3,51,655",branch-misses,-75.42%
183,1.203073996,"11,41,603",cache-misses,-84.04%
184,1.203073996,"1,30,10,478",L1-dcache-load-misses,-84.04%
185,1.203073996,"19,87,530",L1-icache-load-misses,-83.08%
186,1.203073996,"14,78,841",dTLB-load-misses,-77.77%
187,1.203073996,"10,604",dTLB-store-misses,-72.45%
188,1.203073996,"29,524",iTLB-load-misses,-22.23%
189,1.203073996,"1,16,798",LLC-load-misses,-27.55%
190,1.203073996,"48,433",LLC-store-misses,-32.86%
191,1.203073996,"3,46,369",branch-load-misses,-43.50%
192,1.203073996,"22,37,84,054",cycles,-54.13%
193,1.203073996,"39,09,88,359",instructions              #    1.75  insn per cycle,-64.77%
194,1.278294055,"3,10,640",branch-misses,-60.75%
195,1.278294055,"12,57,652",cache-misses,-68.09%
196,1.278294055,"1,30,05,196",L1-dcache-load-misses,-68.09%
197,1.278294055,"19,48,828",L1-icache-load-misses,-68.09%
198,1.278294055,"14,69,611",dTLB-load-misses,-68.10%
199,1.278294055,"10,632",dTLB-store-misses,-71.14%
200,1.278294055,"36,882",iTLB-load-misses,-42.55%
201,1.278294055,"87,274",LLC-load-misses,-42.54%
202,1.278294055,"44,379",LLC-store-misses,-39.50%
203,1.278294055,"2,99,703",branch-load-misses,-44.81%
204,1.278294055,"22,36,29,226",cycles,-50.13%
205,1.278294055,"38,20,11,573",instructions              #    1.71  insn per cycle,-55.45%
206,1.353506956,"3,13,852",branch-misses,-66.87%
207,1.353506956,"15,50,769",cache-misses,-77.51%
208,1.353506956,"1,27,41,411",L1-dcache-load-misses,-82.82%
209,1.353506956,"18,04,459",L1-icache-load-misses,-84.04%
210,1.353506956,"15,62,285",dTLB-load-misses,-84.04%
211,1.353506956,"10,033",dTLB-store-misses,-81.00%
212,1.353506956,"35,484",iTLB-load-misses,-22.51%
213,1.353506956,"1,18,282",LLC-load-misses,-21.28%
214,1.353506956,"50,878",LLC-store-misses,-24.32%
215,1.353506956,"3,06,269",branch-load-misses,-34.95%
216,1.353506956,"22,30,21,575",cycles,-45.59%
217,1.353506956,"37,67,83,757",instructions              #    1.69  insn per cycle,-56.21%
218,1.42871658,"2,83,981",branch-misses,-69.30%
219,1.42871658,"17,03,513",cache-misses,-74.62%
220,1.42871658,"1,29,87,923",L1-dcache-load-misses,-69.30%
221,1.42871658,"17,02,305",L1-icache-load-misses,-68.09%
222,1.42871658,"16,06,654",dTLB-load-misses,-68.09%
223,1.42871658,"9,661",dTLB-store-misses,-68.09%
224,1.42871658,"29,807",iTLB-load-misses,-41.32%
225,1.42871658,"1,31,264",LLC-load-misses,-42.55%
226,1.42871658,"45,051",LLC-store-misses,-42.55%
227,1.42871658,"2,85,329",branch-load-misses,-53.18%
228,1.42871658,"22,21,74,225",cycles,-58.68%
229,1.42871658,"36,68,20,520",instructions              #    1.65  insn per cycle,-64.00%
230,1.503903063,"2,79,745",branch-misses,-58.35%
231,1.503903063,"18,37,674",cache-misses,-68.99%
232,1.503903063,"1,27,57,126",L1-dcache-load-misses,-74.31%
233,1.503903063,"17,59,138",L1-icache-load-misses,-79.63%
234,1.503903063,"16,04,509",dTLB-load-misses,-84.04%
235,1.503903063,"9,426",dTLB-store-misses,-84.04%
236,1.503903063,"33,164",iTLB-load-misses,-31.02%
237,1.503903063,"1,48,181",LLC-load-misses,-25.69%
238,1.503903063,"46,940",LLC-store-misses,-21.28%
239,1.503903063,"2,58,762",branch-load-misses,-26.60%
240,1.503903063,"22,25,44,298",cycles,-37.06%
241,1.503903063,"37,07,79,157",instructions              #    1.67  insn per cycle,-47.70%
242,1.579107962,"2,92,308",branch-misses,-77.80%
243,1.579107962,"20,09,558",cache-misses,-83.12%
244,1.579107962,"1,25,72,404",L1-dcache-load-misses,-77.80%
245,1.579107962,"16,93,894",L1-icache-load-misses,-72.49%
246,1.579107962,"15,69,952",dTLB-load-misses,-68.09%
247,1.579107962,"8,755",dTLB-store-misses,-68.09%
248,1.579107962,"35,644",iTLB-load-misses,-32.82%
249,1.579107962,"1,70,060",LLC-load-misses,-38.14%
250,1.579107962,"45,374",LLC-store-misses,-42.55%
251,1.579107962,"2,89,539",branch-load-misses,-53.18%
252,1.579107962,"22,08,97,957",cycles,-63.82%
253,1.579107962,"36,31,40,390",instructions              #    1.64  insn per cycle,-72.50%
254,1.65432106,"2,79,902",branch-misses,-57.45%
255,1.65432106,"23,52,598",cache-misses,-68.09%
256,1.65432106,"1,22,35,169",L1-dcache-load-misses,-68.09%
257,1.65432106,"16,11,712",L1-icache-load-misses,-71.10%
258,1.65432106,"15,13,432",dTLB-load-misses,-76.42%
259,1.65432106,"8,095",dTLB-store-misses,-81.74%
260,1.65432106,"32,520",iTLB-load-misses,-39.54%
261,1.65432106,"1,98,815",LLC-load-misses,-34.22%
262,1.65432106,"45,146",LLC-store-misses,-28.90%
263,1.65432106,"2,79,613",branch-load-misses,-34.22%
264,1.65432106,"21,88,75,703",cycles,-39.54%
265,1.65432106,"35,60,63,454",instructions              #    1.63  insn per cycle,-46.82%
266,1.729551907,"2,81,301",branch-misses,-77.45%
267,1.729551907,"24,58,185",cache-misses,-84.05%
268,1.729551907,"1,21,95,166",L1-dcache-load-misses,-84.05%
269,1.729551907,"15,57,708",L1-icache-load-misses,-81.04%
270,1.729551907,"14,51,324",dTLB-load-misses,-75.72%
271,1.729551907,"7,625",dTLB-store-misses,-70.41%
272,1.729551907,"29,863",iTLB-load-misses,-24.28%
273,1.729551907,"1,93,736",LLC-load-misses,-29.59%
274,1.729551907,"36,576",LLC-store-misses,-34.90%
275,1.729551907,"2,59,909",branch-load-misses,-45.53%
276,1.729551907,"21,71,69,822",cycles,-56.17%
277,1.729551907,"34,33,49,884",instructions              #    1.58  insn per cycle,-66.80%
278,1.804769853,"2,61,169",branch-misses,-58.73%
279,1.804769853,"30,07,108",cache-misses,-68.09%
280,1.804769853,"1,18,36,827",L1-dcache-load-misses,-68.09%
281,1.804769853,"14,86,234",L1-icache-load-misses,-68.09%
282,1.804769853,"15,30,223",dTLB-load-misses,-68.10%
283,1.804769853,"6,810",dTLB-store-misses,-73.17%
284,1.804769853,"31,913",iTLB-load-misses,-42.55%
285,1.804769853,"2,83,863",LLC-load-misses,-42.54%
286,1.804769853,"43,544",LLC-store-misses,-37.47%
287,1.804769853,"2,59,909",branch-load-misses,-42.79%
288,1.804769853,"21,23,93,590",cycles,-48.11%
289,1.804769853,"32,53,32,513",instructions              #    1.53  insn per cycle,-53.43%
290,1.87995151,"2,45,024",branch-misses,-68.92%
291,1.87995151,"29,76,953",cache-misses,-79.56%
292,1.87995151,"1,17,21,742",L1-dcache-load-misses,-84.03%
293,1.87995151,"14,04,952",L1-icache-load-misses,-84.04%
294,1.87995151,"15,00,714",dTLB-load-misses,-84.04%
295,1.87995151,"6,950",dTLB-store-misses,-78.97%
296,1.87995151,"19,022",iTLB-load-misses,-21.29%
297,1.87995151,"2,64,486",LLC-load-misses,-21.28%
298,1.87995151,"35,584",LLC-store-misses,-26.35%
299,1.87995151,"2,47,955",branch-load-misses,-36.99%
300,1.87995151,"21,29,86,684",cycles,-47.63%
301,1.87995151,"32,45,54,390",instructions              #    1.52  insn per cycle,-58.26%
303,1.955182363,"2,47,018",branch-misses,-67.24%
304,1.955182363,"31,30,600",cache-misses,-72.56%
305,1.955182363,"1,15,90,015",L1-dcache-load-misses,-68.09%
306,1.955182363,"12,99,571",L1-icache-load-misses,-68.09%
307,1.955182363,"14,64,032",dTLB-load-misses,-68.10%
308,1.955182363,"6,481",dTLB-store-misses,-68.10%
309,1.955182363,"27,801",iTLB-load-misses,-42.54%
310,1.955182363,"3,26,705",LLC-load-misses,-42.54%
311,1.955182363,"30,926",LLC-store-misses,-42.54%
312,1.955182363,"2,42,706",branch-load-misses,-51.31%
313,1.955182363,"21,02,10,193",cycles,-56.63%
314,1.955182363,"31,72,32,895",instructions              #    1.51  insn per cycle,-61.95%
315,2.030394684,"2,47,101",branch-misses,-60.37%
316,2.030394684,"32,29,911",cache-misses,-71.01%
317,2.030394684,"1,15,59,945",L1-dcache-load-misses,-76.32%
318,2.030394684,"13,90,791",L1-icache-load-misses,-81.64%
319,2.030394684,"15,03,072",dTLB-load-misses,-84.04%
320,2.030394684,"6,842",dTLB-store-misses,-84.05%
321,2.030394684,"31,998",iTLB-load-misses,-29.00%
322,2.030394684,"3,11,532",LLC-load-misses,-23.69%
323,2.030394684,"39,122",LLC-store-misses,-21.27%
324,2.030394684,"2,43,476",branch-load-misses,-28.45%
325,2.030394684,"21,29,06,195",cycles,-39.08%
326,2.030394684,"32,69,26,393",instructions              #    1.54  insn per cycle,-49.72%
327,2.105609007,"2,46,833",branch-misses,-75.80%
328,2.105609007,"32,75,352",cache-misses,-81.12%
329,2.105609007,"1,14,06,150",L1-dcache-load-misses,-75.80%
330,2.105609007,"14,45,163",L1-icache-load-misses,-70.49%
331,2.105609007,"14,35,003",dTLB-load-misses,-68.10%
332,2.105609007,"7,041",dTLB-store-misses,-68.10%
333,2.105609007,"24,087",iTLB-load-misses,-34.82%
334,2.105609007,"3,39,622",LLC-load-misses,-40.13%
335,2.105609007,"40,737",LLC-store-misses,-42.54%
336,2.105609007,"2,41,378",branch-load-misses,-53.18%
337,2.105609007,"21,07,64,041",cycles,-63.81%
338,2.105609007,"32,00,00,009",instructions              #    1.52  insn per cycle,-70.50%
339,2.180837283,"2,07,505",branch-misses,-57.46%
340,2.180837283,"34,61,718",cache-misses,-68.09%
341,2.180837283,"1,14,57,815",L1-dcache-load-misses,-68.09%
342,2.180837283,"13,40,595",L1-icache-load-misses,-73.08%
343,2.180837283,"14,64,736",dTLB-load-misses,-78.40%
344,2.180837283,"6,760",dTLB-store-misses,-83.72%
345,2.180837283,"26,054",iTLB-load-misses,-37.56%
346,2.180837283,"3,24,894",LLC-load-misses,-32.24%
347,2.180837283,"40,902",LLC-store-misses,-26.92%
348,2.180837283,"2,05,060",branch-load-misses,-32.24%
349,2.180837283,"21,09,00,403",cycles,-37.56%
350,2.180837283,"31,50,49,595",instructions              #    1.49  insn per cycle,-46.83%
351,2.256017683,"2,21,432",branch-misses,-78.71%
352,2.256017683,"36,01,644",cache-misses,-84.03%
353,2.256017683,"1,11,69,656",L1-dcache-load-misses,-84.03%
354,2.256017683,"12,83,656",L1-icache-load-misses,-79.05%
355,2.256017683,"14,35,341",dTLB-load-misses,-73.73%
356,2.256017683,"6,386",dTLB-store-misses,-68.41%
357,2.256017683,"27,126",iTLB-load-misses,-26.27%
358,2.256017683,"3,32,728",LLC-load-misses,-31.59%
359,2.256017683,"39,479",LLC-store-misses,-36.91%
360,2.256017683,"2,22,430",branch-load-misses,-47.54%
361,2.256017683,"20,80,19,474",cycles,-58.17%
362,2.256017683,"30,54,94,866",instructions              #    1.47  insn per cycle,-68.81%
363,2.3312253,"1,92,464",branch-misses,-57.45%
364,2.3312253,"39,55,638",cache-misses,-68.09%
365,2.3312253,"1,06,70,039",L1-dcache-load-misses,-68.09%
366,2.3312253,"11,19,850",L1-icache-load-misses,-68.09%
367,2.3312253,"14,16,903",dTLB-load-misses,-69.89%
368,2.3312253,"6,002",dTLB-store-misses,-75.22%
369,2.3312253,"23,513",iTLB-load-misses,-42.55%
370,2.3312253,"4,41,477",LLC-load-misses,-40.75%
371,2.3312253,"29,911",LLC-store-misses,-35.43%
372,2.3312253,"1,81,496",branch-load-misses,-40.75%
373,2.3312253,"20,31,81,544",cycles,-46.07%
374,2.3312253,"28,35,82,318",instructions              #    1.40  insn per cycle,-51.39%
375,2.406461328,"1,97,303",branch-misses,-70.93%
376,2.406461328,"40,50,231",cache-misses,-81.56%
377,2.406461328,"1,06,72,874",L1-dcache-load-misses,-84.05%
378,2.406461328,"11,73,851",L1-icache-load-misses,-84.05%
379,2.406461328,"14,20,205",dTLB-load-misses,-82.25%
380,2.406461328,"7,959",dTLB-store-misses,-76.94%
381,2.406461328,"21,468",iTLB-load-misses,-21.27%
382,2.406461328,"5,18,765",LLC-load-misses,-23.07%
383,2.406461328,"36,084",LLC-store-misses,-28.38%
384,2.406461328,"1,82,030",branch-load-misses,-39.01%
385,2.406461328,"20,42,84,324",cycles,-49.64%
386,2.406461328,"29,67,56,653",instructions              #    1.45  insn per cycle,-60.27%
387,2.481682788,"2,17,356",branch-misses,-65.26%
388,2.481682788,"38,56,516",cache-misses,-70.58%
389,2.481682788,"1,08,35,398",L1-dcache-load-misses,-68.09%
390,2.481682788,"12,32,058",L1-icache-load-misses,-68.09%
391,2.481682788,"14,57,834",dTLB-load-misses,-68.10%
392,2.481682788,"7,194",dTLB-store-misses,-68.10%
393,2.481682788,"25,872",iTLB-load-misses,-42.54%
394,2.481682788,"3,87,932",LLC-load-misses,-42.54%
395,2.481682788,"34,135",LLC-store-misses,-42.54%
396,2.481682788,"2,18,728",branch-load-misses,-49.32%
397,2.481682788,"20,78,70,861",cycles,-54.64%
398,2.481682788,"30,29,66,834",instructions              #    1.46  insn per cycle,-59.96%
399,2.55690337,"1,81,919",branch-misses,-62.36%
400,2.55690337,"41,46,532",cache-misses,-72.99%
401,2.55690337,"1,10,33,144",L1-dcache-load-misses,-78.31%
402,2.55690337,"11,29,079",L1-icache-load-misses,-83.63%
403,2.55690337,"14,70,095",dTLB-load-misses,-84.05%
404,2.55690337,"6,555",dTLB-store-misses,-84.05%
405,2.55690337,"25,788",iTLB-load-misses,-27.02%
406,2.55690337,"4,57,983",LLC-load-misses,-21.70%
407,2.55690337,"28,211",LLC-store-misses,-21.27%
408,2.55690337,"1,76,450",branch-load-misses,-30.44%
409,2.55690337,"20,46,16,320",cycles,-41.07%
410,2.55690337,"29,14,65,213",instructions              #    1.42  insn per cycle,-51.70%
411,2.632125221,"1,91,826",branch-misses,-73.82%
412,2.632125221,"43,16,410",cache-misses,-79.14%
413,2.632125221,"1,01,29,345",L1-dcache-load-misses,-73.82%
414,2.632125221,"10,73,877",L1-icache-load-misses,-68.51%
415,2.632125221,"13,78,124",dTLB-load-misses,-68.10%
416,2.632125221,"6,223",dTLB-store-misses,-68.10%
417,2.632125221,"21,102",iTLB-load-misses,-36.80%
418,2.632125221,"4,37,614",LLC-load-misses,-42.11%
419,2.632125221,"33,803",LLC-store-misses,-42.54%
420,2.632125221,"1,94,079",branch-load-misses,-53.17%
421,2.632125221,"20,20,56,237",cycles,-63.20%
422,2.632125221,"27,67,70,616",instructions              #    1.37  insn per cycle,-68.52%
423,2.707346533,"1,93,834",branch-misses,-57.45%
424,2.707346533,"44,21,546",cache-misses,-68.09%
425,2.707346533,"1,04,48,624",L1-dcache-load-misses,-69.74%
426,2.707346533,"11,46,373",L1-icache-load-misses,-75.05%
427,2.707346533,"13,72,806",dTLB-load-misses,-80.37%
428,2.707346533,"6,523",dTLB-store-misses,-84.05%
429,2.707346533,"22,929",iTLB-load-misses,-35.59%
430,2.707346533,"5,08,908",LLC-load-misses,-30.27%
431,2.707346533,"30,747",LLC-store-misses,-24.96%
432,2.707346533,"1,97,643",branch-load-misses,-30.27%
433,2.707346533,"20,27,50,857",cycles,-36.19%
434,2.707346533,"28,00,60,926",instructions              #    1.38  insn per cycle,-46.82%
435,2.78257106,"1,87,219",branch-misses,-78.72%
436,2.78257106,"45,52,074",cache-misses,-84.04%
437,2.78257106,"1,02,85,651",L1-dcache-load-misses,-82.40%
438,2.78257106,"11,13,234",L1-icache-load-misses,-77.09%
439,2.78257106,"13,29,942",dTLB-load-misses,-71.77%
440,2.78257106,"5,970",dTLB-store-misses,-68.10%
441,2.78257106,"21,908",iTLB-load-misses,-28.23%
442,2.78257106,"5,46,267",LLC-load-misses,-33.54%
443,2.78257106,"28,880",LLC-store-misses,-38.85%
444,2.78257106,"1,94,867",branch-load-misses,-49.49%
445,2.78257106,"20,13,73,354",cycles,-60.12%
446,2.78257106,"27,66,77,898",instructions              #    1.37  insn per cycle,-70.75%
447,2.857797606,"1,73,608",branch-misses,-57.45%
448,2.857797606,"46,79,347",cache-misses,-68.09%
449,2.857797606,"1,00,51,891",L1-dcache-load-misses,-68.08%
450,2.857797606,"10,55,962",L1-icache-load-misses,-68.10%
451,2.857797606,"14,10,017",dTLB-load-misses,-71.81%
452,2.857797606,"5,598",dTLB-store-misses,-77.13%
453,2.857797606,"20,643",iTLB-load-misses,-42.54%
454,2.857797606,"5,89,214",LLC-load-misses,-38.84%
455,2.857797606,"30,294",LLC-store-misses,-33.51%
456,2.857797606,"1,76,611",branch-load-misses,-38.83%
457,2.857797606,"19,93,76,799",cycles,-44.15%
458,2.857797606,"26,46,84,033",instructions              #    1.33  insn per cycle,-49.47%
459,2.933016315,"1,77,683",branch-misses,-72.84%
460,2.933016315,"47,92,110",cache-misses,-83.48%
461,2.933016315,"95,97,091",L1-dcache-load-misses,-84.04%
462,2.933016315,"10,20,962",L1-icache-load-misses,-84.04%
463,2.933016315,"12,87,873",dTLB-load-misses,-80.33%
464,2.933016315,"5,218",dTLB-store-misses,-75.02%
