,branch-misses,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,cycles,instructions
0,744589,231833,9667348,5162301,6149,16751,74810,14514,104936,732020,231404681,496362643
1,686784,128862,11453249,4037478,97675,12933,54000,13173,81779,689057,232051871,472561901
2,624231,145103,11704343,3605909,433630,15492,66003,13692,76504,618620,231959469,459856782
3,575496,124394,12204268,3401192,786373,17788,62934,15787,68350,582222,232165588,453432673
4,550001,142873,12619649,3153576,987161,17846,56971,15938,63676,543048,231676482,444207729
5,513645,170835,12702469,3006826,1094770,16779,46640,17448,66607,504556,231908530,439161211
6,482600,186592,12984748,2807286,1186901,15798,49430,12137,60515,483479,231200345,433457406
7,459919,295065,13134414,2644744,1229073,14679,46997,18949,55796,461347,230076025,424858216
8,442577,290670,13117713,2510019,1332880,13549,42122,17927,53574,437009,229873030,421709961
9,437220,350372,12955655,2450986,1327428,13271,44956,27994,60079,443035,226933401,417789666
10,399297,383784,13306325,2345298,1366292,12461,46746,27300,50694,396177,227850639,413276827
11,391728,699220,13065798,2184521,1402704,12378,44600,59574,53833,394916,224477689,400579099
12,371472,556446,13203116,2195483,1469048,12114,41215,36592,52580,368783,225432322,405488636
13,373202,733839,13144189,2070268,1467664,11383,37498,51384,51107,373721,224767352,397626569
14,335955,894563,13176769,2035173,1521257,11340,38629,61882,49459,327047,224572898,390009766
15,351655,1141603,13010478,1987530,1478841,10604,29524,116798,48433,346369,223784054,390988359
16,310640,1257652,13005196,1948828,1469611,10632,36882,87274,44379,299703,223629226,382011573
17,313852,1550769,12741411,1804459,1562285,10033,35484,118282,50878,306269,223021575,376783757
18,283981,1703513,12987923,1702305,1606654,9661,29807,131264,45051,285329,222174225,366820520
19,279745,1837674,12757126,1759138,1604509,9426,33164,148181,46940,258762,222544298,370779157
20,292308,2009558,12572404,1693894,1569952,8755,35644,170060,45374,289539,220897957,363140390
21,279902,2352598,12235169,1611712,1513432,8095,32520,198815,45146,279613,218875703,356063454
22,281301,2458185,12195166,1557708,1451324,7625,29863,193736,36576,259909,217169822,343349884
23,261169,3007108,11836827,1486234,1530223,6810,31913,283863,43544,259909,212393590,325332513
24,245024,2976953,11721742,1404952,1500714,6950,19022,264486,35584,247955,212986684,324554390
25,247018,3130600,11590015,1299571,1464032,6481,27801,326705,30926,242706,210210193,317232895
26,247101,3229911,11559945,1390791,1503072,6842,31998,311532,39122,243476,212906195,326926393
27,246833,3275352,11406150,1445163,1435003,7041,24087,339622,40737,241378,210764041,320000009
28,207505,3461718,11457815,1340595,1464736,6760,26054,324894,40902,205060,210900403,315049595
29,221432,3601644,11169656,1283656,1435341,6386,27126,332728,39479,222430,208019474,305494866
30,192464,3955638,10670039,1119850,1416903,6002,23513,441477,29911,181496,203181544,283582318
