,branch-misses,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,cycles,instructions
0,265288,2402382,3187593,853460,24391,356351,2121,37539,2140169,272620,215558553,498681327
1,241850,2880909,3284574,84742,17714,390169,329,43064,2696596,241090,231074860,525978130
2,100903,2844041,4593488,296742,21763,383992,3271,204165,2832381,122922,225898699,483716602
3,97666,3092116,8495598,296747,19294,335958,9273,483524,1625501,93369,223826467,440652693
4,151342,2547323,7639863,695263,21181,146184,20744,203784,1409077,165666,223866617,483676995
5,68871,541498,17996834,67286,4959,97074,310,272,4,31555,231899412,1172491467
6,22130,1292,18578048,5639,39,232,65,5,4,22616,232309955,1353501115
7,21375,854,18044202,8870,44,684,216,20,0,21651,232242592,1343319902
8,21905,279,18923988,4443,0,178,7,6,0,22198,232306823,1351711462
9,22866,174,19228762,4929,1,157,54,0,0,22915,232158910,1361356735
10,62764,2675251,15994807,49004,4821,234978,4052,359460,732389,55567,225982498,704136939
11,563998,1823406,17667092,66089,6276,113290,805,112886,153577,682054,223677431,646741276
12,347880,2272600,18809523,36889,6861,51745,610,120281,73293,476336,223314291,636490182
13,552172,1856909,18316155,34028,6788,40521,408,115606,40018,712427,223754539,669856939
14,600873,2146235,19705721,34196,5849,40292,212,109654,12272,864348,223884038,633803220
15,510882,2095350,17685551,34531,6681,23285,369,108709,102837,650889,223718806,625234032
16,986713,2775966,17691803,32583,6101,66258,324,85537,41323,1094073,226205254,673499837
17,1724386,279531,12718435,34489,1070,1124,28,13175,16605,1717702,232076849,566827671
18,698601,2369780,10707359,43394,35714,34720,223,222573,689141,824066,225239713,611288396
19,263652,971779,7761761,81517,14476,53295,1242,139273,390695,205309,225978164,469213138
20,256639,895700,8742426,27982,4745,58656,868,90697,387136,270123,230652126,483784163
21,314320,809025,7917695,29504,4250,41592,807,125141,364705,280431,230263750,497337006
22,481424,934169,6840039,27739,25126,48813,905,107056,312475,413310,229057434,540859012
23,905849,1446506,2540667,19645,102857,8060,460,70930,13410,829816,224475993,650510687
24,247185,497674,3937055,264901,40819,15866,9379,11845,38569,219623,230320991,540991161
25,313049,81301,4392372,323123,29536,8912,9118,2918,19062,299139,232018881,542668350
26,286487,79623,4369707,334204,27570,7951,10164,2946,22629,278830,232138710,543447706
27,299606,73290,4320175,325438,27861,8104,9649,2184,17533,300664,232064092,542643095
28,289309,69063,4403480,339456,27169,8304,9521,1988,15885,283835,232207060,542381212
29,306017,72714,4400585,318629,27802,8703,10371,2616,18894,317602,232286309,543791341
30,300040,87193,4391926,336971,27102,8395,7860,2204,25637,291591,232151725,541848064
31,307581,117575,4459210,350665,28981,9166,9853,5165,24197,323543,231962548,539431318
32,302619,75533,4247086,345261,28066,8525,9526,1802,18074,312392,232123866,544002964
33,288422,74654,4374158,326726,27270,7835,9541,2017,21349,298544,232350658,542603977
34,306850,70861,4312867,324917,27420,7656,10888,2128,17192,306865,232182130,542577100
35,320472,70177,4355337,324682,27504,8951,10191,1347,17413,308442,232119165,542085609
36,311812,131829,4331573,341878,28239,8881,9152,3187,33356,294706,231656493,536699168
37,317562,131282,4506054,341240,28988,8293,9497,4876,31544,315482,232125067,539611472
38,285040,105236,4253820,332456,28219,8237,9961,5149,37301,282361,231887916,541486254
39,282744,135144,4334387,351893,27669,7614,10640,5848,43110,276732,231380237,536866217
40,285707,130378,4320272,330921,27962,8719,8313,6066,37268,270784,232160916,541685079
41,296514,103109,4330252,335276,26963,7427,9064,6240,36981,293759,232118568,540428773
42,319277,104578,4415701,324982,27928,9033,9188,7888,30551,330688,232149753,541045282
43,296320,114358,4347760,318546,29871,8858,11176,8132,34412,289097,231468694,538919393
44,290684,151296,4227311,352671,28289,8061,9318,12861,57993,291500,231067304,535781059
45,277865,90943,4292409,325249,28108,7754,10243,3081,24764,292824,232167366,542376320
46,305386,127324,4381368,343095,28521,7759,10452,8290,41458,310072,231124283,537032988
47,307488,116451,4358610,333318,28658,9229,9289,11588,30817,331329,231636256,539335789
48,323888,78303,4447326,343752,27792,8863,9383,3013,20393,321169,232042676,540109264
49,310558,71730,4545894,325724,22943,8190,8974,3111,14001,322865,232169931,542072345
50,290000,81318,4217341,337083,22705,7257,8364,2199,24912,280336,232130508,542826220
51,293243,80193,4312375,336095,22542,7645,9001,1894,23212,292718,232119644,541601377
52,302870,85279,4378982,326510,22291,7133,7988,2309,21404,305608,232167219,541881543
53,289097,85106,4321061,340759,23709,7771,9364,3359,26409,287123,232146573,541177604
54,312785,75190,4661713,320536,23160,8806,9636,2509,20527,312345,232136130,542107249
55,295673,120834,4445153,339224,26063,8514,8402,7714,42755,275430,231388673,538299941
56,282994,82318,4320902,331083,22606,6930,9105,1692,29938,291153,232216074,542700051
57,282997,72850,4312558,336634,23452,7377,9401,1827,20486,275274,232125487,543072074
58,292981,89600,4315069,320554,23153,8142,9720,2074,21812,298703,232221084,542379157
59,295425,76491,4508217,328880,23232,8160,9150,2352,18062,288035,232158769,541488411
60,296469,75970,4425568,325723,22504,7862,8101,2649,20792,308482,232122898,541407336
61,279921,76649,4497354,334841,23467,7466,8091,2582,21337,291677,232168743,541725977
62,286990,73951,4328364,325840,22712,6895,8671,1712,17704,287503,232125800,542189333
63,279764,113448,4319503,338845,23634,8099,8264,2964,32051,285163,232156123,541222127
64,313359,93258,4453148,338604,24562,8849,9943,5078,25839,322175,232035496,540283337
65,299950,89764,4476649,325876,25225,6846,8927,2130,30631,295507,232079656,540329634
66,289518,190596,4464003,345094,27178,7738,10581,63747,57154,289535,230882571,532907361
67,316547,98487,4490661,326155,24721,7855,9864,3261,26308,326626,232179750,541455497
68,284750,75422,4391771,344427,25173,7547,8011,2173,21866,272075,232142166,541276469
69,275788,77695,4392373,336958,24245,8155,8832,2396,25646,275448,232101040,541137904
70,300236,78451,4567309,324329,24785,8564,8106,2730,21134,300979,232048888,541622133
71,296367,112078,4500873,359293,26514,7879,10135,3982,31100,299604,231879647,537915676
72,305306,82220,4623269,333983,25842,7934,9609,1690,22786,304059,232083435,540436878
73,302111,78731,4432144,333985,26519,7425,10493,3213,21452,286850,232019333,540801404
74,274140,79924,4527287,333358,25332,7530,8682,2014,21067,283311,232108989,542025818
75,271664,75809,4436134,333661,25452,8814,11649,1899,23307,267828,232131418,541480217
76,284830,100644,4421187,344535,26822,8371,9150,2409,30116,291676,231766685,538197018
77,293570,89772,4768380,327688,26176,7274,8953,3115,26469,307217,232195220,539905907
78,295383,82493,4524637,335353,26538,7546,9877,2747,26944,291710,231948968,539625872
79,304266,99438,4544093,333451,26486,8081,9796,11243,24857,297413,231885598,537762602
80,296791,80914,4506258,331010,25351,8470,9748,2948,21202,306669,232008276,539333805
81,283821,141950,4516469,353830,25425,7164,8765,4327,61598,277233,230193656,532045405
82,298447,94669,4556557,322215,25418,6517,8784,3902,24640,301735,232130279,540252218
83,298551,86476,4783486,332643,25642,7195,9281,2296,25438,271004,232176911,540064819
84,281228,86392,4655627,334016,26250,6633,11291,3180,26738,268447,232174779,539621902
85,313398,79858,4604164,331009,25192,7001,9888,2502,19359,316153,232130220,540460257
86,305981,75054,4558085,322954,25023,7474,8697,2255,23431,305484,232175155,540043570
87,287692,112320,4674587,353393,26781,6715,8292,4408,34158,278410,231902480,537113535
88,304643,94761,4558688,327674,26124,7047,9457,4595,21518,308506,232143472,537562506
89,268192,80275,4730425,334726,25836,6958,9095,3525,21418,272340,232163104,540684343
90,287930,88407,4533029,337192,28848,7110,11051,2714,28591,286107,231931108,537928778
91,285737,77929,4604241,325542,26556,8011,8600,2683,20940,273100,232169619,540589168
92,309649,70862,4505193,333863,27059,8409,9212,2243,15441,305929,232116777,540023856
93,295283,78355,4675403,330314,27136,7091,8614,2144,22491,301454,232107516,538928439
94,304479,79861,4599923,341475,28879,7499,9882,3425,19425,301829,232070994,539105423
95,276923,101234,4691617,334286,28404,7563,10257,9565,34003,282697,231685331,536591578
96,287074,83229,4549331,342312,27101,7207,9201,2903,25428,290436,232153572,539415586
97,271010,78919,4618072,319187,26490,7934,9255,3913,22045,278064,232158861,538981187
98,323405,78341,4627794,331756,27541,7803,9054,3075,19517,319381,232170420,540344708
99,316789,81077,4588734,312570,26113,6691,11069,4025,24565,329121,232114715,538029818
100,294773,93849,4691455,329826,28187,7351,8307,3826,24897,287388,232146339,538400794
101,282120,83973,4617072,326368,27137,7443,10015,3165,21292,276919,232140759,539630591
102,281417,78801,4585684,328454,26973,7286,10280,2603,17194,263288,232187642,540320570
103,284929,154224,4691877,340648,29037,8266,9038,4381,35487,294428,232098936,538943600
104,306208,83410,4561726,326465,28549,7867,8987,2602,20493,290288,232118702,537876708
105,289314,81546,4780728,324009,26552,7785,7970,3332,19590,301946,232164252,541391933
106,274543,99229,4692518,333641,27937,7179,9198,10422,29088,276914,231294849,536821462
107,268903,85435,4787591,318345,26587,7589,7575,3773,21785,270430,232214998,539942526
108,284217,80470,4588194,317351,26821,7568,9075,2852,22551,285487,232137769,539905067
109,288417,80238,4657271,327171,27518,8237,8481,2321,22024,280139,232155231,538897719
110,311952,75281,4680533,322081,27105,8112,8509,2814,16812,311231,232131454,540392238
111,292615,125430,4684712,310486,26704,6476,11020,10865,49815,305347,231159498,537110846
112,270639,90181,4758513,332403,27825,8053,8957,3305,26307,260167,232165164,539746960
113,268392,79311,4807342,310083,27279,7266,9176,3254,20969,282421,232117649,539073209
114,285891,99307,4693135,326274,28057,8457,11191,3386,22126,277956,232149698,538680013
115,285896,80498,4700393,319785,28221,8421,9475,2611,19854,291164,232066046,538845042
116,300659,74008,4698882,324871,27785,7932,9888,2499,18301,291523,232165034,540135004
117,268523,87824,4701962,310669,27797,6981,8415,3681,22898,266410,232111545,540268313
118,268082,86337,4784552,327922,27578,8096,9790,4005,20787,263402,232079274,538671952
119,291399,120486,4841960,329817,28719,8555,9654,4128,24849,301994,231514462,537424998
120,295368,81053,4754292,326382,28076,7160,9423,2845,20740,292855,232141111,539438966
121,279638,84529,4634963,328364,28928,8476,7539,3643,28245,282367,232158468,538049110
122,310452,96181,4750761,337120,27710,7366,9972,4217,22898,311473,232141028,538865353
123,286396,82011,4741826,313685,28216,7470,9979,3080,19187,293242,232095448,540578336
124,293336,75514,4848758,329939,28414,7961,10528,2754,17615,284267,232207901,540105532
125,303755,81481,4889336,318045,27624,8807,9547,2952,17486,312505,232184349,539225161
126,295919,78286,4585080,322217,28248,8858,9082,3760,19678,289969,232151142,538909163
127,296780,113084,4872999,328710,28365,8184,8894,9039,43007,293980,231479301,535139418
128,293978,90762,4589999,335075,28837,8614,10032,3226,26174,288682,232097281,539806058
129,298684,81868,4752960,308153,28196,7733,9620,2470,18801,294831,232139257,539134369
130,289880,82712,4866483,319447,29135,8191,10022,3693,20219,307186,232126728,540065756
131,321584,141466,4842575,353530,31756,8702,9279,8960,47264,322809,230431924,526604686
132,277991,82587,4691170,310425,27057,6785,10242,3820,23389,273156,232160230,539821776
133,290551,100758,4672247,329615,28732,8339,7973,5390,35097,292640,232142951,538036062
134,290363,100929,4639297,320238,27008,8029,9551,5503,35744,292285,232159286,538739342
