#,started on Fri,01-10-2013 03:16,,
,,,,
#,time,counts unit,events,
,0.676821416,279,cache-misses,-84.04%
,0.676821416,"1,89,23,988",L1-dcache-load-misses,-84.04%
,0.676821416,"4,443",L1-icache-load-misses,-80.23%
,0.676821416,0,dTLB-load-misses,-74.91%
,0.676821416,178,dTLB-store-misses,-69.60%
,0.676821416,7,iTLB-load-misses,-25.09%
,0.676821416,6,LLC-load-misses,-30.40%
,0.676821416,0,LLC-store-misses,-35.72%
,0.676821416,"22,198",branch-load-misses,-46.36%
,0.676821416,"23,23,06,823",cycles,-57.00%
,0.676821416,"1,35,17,11,462",instructions              #    5.82  insn per cycle,-67.64%
,0.751959025,"22,866",branch-misses,-57.83%
,0.751959025,174,cache-misses,-68.06%
,0.751959025,"1,92,28,762",L1-dcache-load-misses,-68.06%
,0.751959025,"4,929",L1-icache-load-misses,-68.06%
,0.751959025,1,dTLB-load-misses,-68.78%
,0.751959025,157,dTLB-store-misses,-74.10%
,0.751959025,54,iTLB-load-misses,-42.59%
,0.751959025,0,LLC-load-misses,-41.87%
,0.751959025,0,LLC-store-misses,-36.55%
,0.751959025,"22,915",branch-load-misses,-41.88%
,0.751959025,"23,21,58,910",cycles,-47.20%
,0.751959025,"1,36,13,56,735",instructions              #    5.86  insn per cycle,-52.52%
,0.827096589,"62,764",branch-misses,-69.92%
,0.827096589,"26,75,251",cache-misses,-80.57%
,0.827096589,"1,59,94,807",L1-dcache-load-misses,-84.01%
,0.827096589,"49,004",L1-icache-load-misses,-84.03%
,0.827096589,"4,821",dTLB-load-misses,-83.31%
,0.827096589,"2,34,978",dTLB-store-misses,-78.01%
,0.827096589,"4,052",iTLB-load-misses,-21.30%
,0.827096589,"3,59,460",LLC-load-misses,-22.01%
,0.827096589,"7,32,389",LLC-store-misses,-27.32%
,0.827096589,"55,567",branch-load-misses,-37.97%
,0.827096589,"22,59,82,498",cycles,-48.61%
,0.827096589,"70,41,36,939",instructions              #    3.12  insn per cycle,-59.26%
,0.902243893,"5,63,998",branch-misses,-66.19%
,0.902243893,"18,23,406",cache-misses,-71.51%
,0.902243893,"1,76,67,092",L1-dcache-load-misses,-68.06%
,0.902243893,"66,089",L1-icache-load-misses,-68.06%
,0.902243893,"6,276",dTLB-load-misses,-68.06%
,0.902243893,"1,13,290",dTLB-store-misses,-68.06%
,0.902243893,805,iTLB-load-misses,-42.59%
,0.902243893,"1,12,886",LLC-load-misses,-42.59%
,0.902243893,"1,53,577",LLC-store-misses,-42.58%
,0.902243893,"6,82,054",branch-load-misses,-50.24%
,0.902243893,"22,36,77,431",cycles,-55.56%
,0.902243893,"64,67,41,276",instructions              #    2.89  insn per cycle,-60.88%
,0.977418521,"3,47,880",branch-misses,-61.52%
,0.977418521,"22,72,600",cache-misses,-72.16%
,0.977418521,"1,88,09,523",L1-dcache-load-misses,-77.48%
,0.977418521,"36,889",L1-icache-load-misses,-82.80%
,0.977418521,"6,861",dTLB-load-misses,-84.04%
,0.977418521,"51,745",dTLB-store-misses,-84.04%
,0.977418521,610,iTLB-load-misses,-27.85%
,0.977418521,"1,20,281",LLC-load-misses,-22.53%
,0.977418521,"73,293",LLC-store-misses,-21.28%
,0.977418521,"4,76,336",branch-load-misses,-29.59%
,0.977418521,"22,33,14,291",cycles,-40.23%
,0.977418521,"63,64,90,182",instructions              #    2.85  insn per cycle,-50.88%
,1.052601685,"5,52,172",branch-misses,-74.63%
,1.052601685,"18,56,909",cache-misses,-79.95%
,1.052601685,"1,83,16,155",L1-dcache-load-misses,-74.63%
,1.052601685,"34,028",L1-icache-load-misses,-69.31%
,1.052601685,"6,788",dTLB-load-misses,-68.07%
,1.052601685,"40,521",dTLB-store-misses,-68.07%
,1.052601685,408,iTLB-load-misses,-36.01%
,1.052601685,"1,15,606",LLC-load-misses,-41.32%
,1.052601685,"40,018",LLC-store-misses,-42.57%
,1.052601685,"7,12,427",branch-load-misses,-53.21%
,1.052601685,"22,37,54,539",cycles,-63.85%
,1.052601685,"66,98,56,939",instructions              #    2.99  insn per cycle,-69.32%
,1.127752158,"6,00,873",branch-misses,-57.42%
,1.127752158,"21,46,235",cache-misses,-68.07%
,1.127752158,"1,97,05,721",L1-dcache-load-misses,-69.06%
,1.127752158,"34,196",L1-icache-load-misses,-74.38%
,1.127752158,"5,849",dTLB-load-misses,-79.70%
,1.127752158,"40,292",dTLB-store-misses,-84.03%
,1.127752158,212,iTLB-load-misses,-36.27%
,1.127752158,"1,09,654",LLC-load-misses,-30.95%
,1.127752158,"12,272",LLC-store-misses,-25.63%
,1.127752158,"8,64,348",branch-load-misses,-30.96%
,1.127752158,"22,38,84,038",cycles,-36.28%
,1.127752158,"63,38,03,220",instructions              #    2.83  insn per cycle,-46.78%
,1.202973809,"5,10,882",branch-misses,-78.73%
,1.202973809,"20,95,350",cache-misses,-84.05%
,1.202973809,"1,76,85,551",L1-dcache-load-misses,-83.06%
,1.202973809,"34,531",L1-icache-load-misses,-77.74%
,1.202973809,"6,681",dTLB-load-misses,-72.42%
,1.202973809,"23,285",dTLB-store-misses,-68.10%
,1.202973809,369,iTLB-load-misses,-27.57%
,1.202973809,"1,08,709",LLC-load-misses,-32.89%
,1.202973809,"1,02,837",LLC-store-misses,-38.20%
,1.202973809,"6,50,889",branch-load-misses,-48.84%
,1.202973809,"22,37,18,806",cycles,-59.47%
,1.202973809,"62,52,34,032",instructions              #    2.79  insn per cycle,-70.11%
,1.278145425,"9,86,713",branch-misses,-57.43%
,1.278145425,"27,75,966",cache-misses,-68.07%
,1.278145425,"1,76,91,803",L1-dcache-load-misses,-68.07%
,1.278145425,"32,583",L1-icache-load-misses,-68.07%
,1.278145425,"6,101",dTLB-load-misses,-71.20%
,1.278145425,"66,258",dTLB-store-misses,-76.52%
,1.278145425,324,iTLB-load-misses,-42.57%
,1.278145425,"85,537",LLC-load-misses,-39.45%
,1.278145425,"41,323",LLC-store-misses,-34.13%
,1.278145425,"10,94,073",branch-load-misses,-39.45%
,1.278145425,"22,62,05,254",cycles,-44.77%
,1.278145425,"67,34,99,837",instructions              #    2.98  insn per cycle,-50.10%
,1.353288518,"17,24,386",branch-misses,-72.34%
,1.353288518,"2,79,531",cache-misses,-82.98%
,1.353288518,"1,27,18,435",L1-dcache-load-misses,-84.03%
,1.353288518,"34,489",L1-icache-load-misses,-84.03%
,1.353288518,"1,070",dTLB-load-misses,-80.90%
,1.353288518,"1,124",dTLB-store-misses,-75.58%
